882 2901
589 609 948
842 703 776
220 754 490
212 465 730
797 474 7
217 520 587
99 98 42
165 162 482
812 846 115
701 696 684
142 182 141
855 599 427
590 599 807
294 365 960
610 550 383
193 861 230
531 304 150
238 25 199
532 510 13
598 117 821
523 482 566
380 788 500
171 229 705
253 503 575
364 486 636
4 478 570
555 306 928
527 627 954
409 466 672
104 110 956
452 655 836
47 287 346
508 739 600
471 12 996
543 760 494
848 257 632
201 441 364
237 862 673
674 665 366
831 722 489
725 523 767
798 493 92
747 715 552
510 505 282
69 283 862
517 482 919
345 148 652
117 429 833
16 508 572
756 369 308
860 362 281
798 809 169
584 464 958
259 593 916
30 566 58
38 806 412
135 204 398
821 739 448
40 184 125
355 453 674
209 716 253
96 695 904
281 13 864
704 377 820
173 327 120
212 296 715
248 336 257
744 778 252
784 254 943
498 544 690
806 210 449
255 130 386
755 508 684
789 96 257
136 854 361
713 409 856
597 383 904
875 649 862
152 718 421
443 407 187
663 238 212
278 533 718
178 76 847
148 626 800
477 274 919
174 129 372
659 849 24
157 192 576
684 741 445
882 447 892
286 536 794
119 115 255
161 176 522
294 146 576
840 842 615
117 820 403
395 309 698
769 691 929
69 629 729
882 737 715
263 668 372
460 653 497
275 461 36
483 113 863
186 60 708
270 65 704
434 107 228
103 592 662
438 749 377
837 98 226
86 309 613
15 6 619
431 605 264
665 574 498
832 610 17
424 165 434
230 46 647
302 461 631
318 669 105
649 343 402
546 40 749
333 117 169
828 657 723
691 7 843
154 865 714
801 352 25
565 237 899
136 410 200
776 675 756
648 245 804
680 811 184
33 64 717
432 210 581
401 513 122
468 553 996
564 192 60
708 869 440
786 821 239
130 842 614
398 769 955
288 796 597
46 707 916
100 364 988
353 545 121
745 719 741
29 68 892
348 534 223
387 849 22
685 45 721
641 647 568
760 591 894
290 344 478
644 659 925
19 529 337
19 859 941
256 88 227
587 279 380
240 355 581
384 824 359
493 762 864
490 17 520
793 517 665
674 50 354
137 40 571
193 311 532
852 406 890
54 569 272
682 298 476
321 415 774
604 394 26
119 65 477
536 27 495
183 830 480
757 770 196
568 791 728
175 244 629
412 5 532
547 624 394
54 150 570
326 535 86
135 714 264
272 311 749
623 677 100
714 821 939
58 521 352
585 580 458
231 377 26
669 420 988
165 260 893
409 516 562
826 764 18
777 96 126
213 631 871
312 213 267
457 670 648
248 864 223
391 197 704
769 567 830
867 800 767
703 222 673
239 434 468
869 480 431
542 409 826
319 396 564
341 550 68
734 244 258
76 445 60
593 440 195
80 313 56
844 287 749
806 511 505
728 23 884
237 574 881
294 225 37
276 781 645
53 414 586
733 54 113
869 191 336
338 360 816
349 533 115
439 604 54
325 689 549
423 357 867
386 733 985
214 235 697
108 711 473
292 283 159
824 665 848
882 821 669
384 827 55
617 875 548
133 826 995
694 698 534
629 453 934
88 803 343
209 770 59
